threshold,accuracy,precision,pod_recall,far,f1_score,specificity,csi,tn,fp,fn,tp,model
0.69,0.6368078175895765,0.7702702702702703,0.21673003802281368,0.22972972972972974,0.33827893175074186,0.9515669515669516,0.20357142857142857,334,17,206,57,TCN
0.7,0.6335504885993485,0.7878787878787878,0.19771863117870722,0.21212121212121213,0.3161094224924012,0.9601139601139601,0.18772563176895307,337,14,211,52,TCN
0.71,0.6205211726384365,0.7777777777777778,0.1596958174904943,0.2222222222222222,0.26498422712933756,0.9658119658119658,0.15272727272727274,339,12,221,42,TCN
0.72,0.6140065146579805,0.7708333333333334,0.14068441064638784,0.22916666666666666,0.2379421221864952,0.9686609686609686,0.13503649635036497,340,11,226,37,TCN
0.73,0.6026058631921825,0.7567567567567568,0.10646387832699619,0.24324324324324326,0.18666666666666668,0.9743589743589743,0.10294117647058823,342,9,235,28,TCN
0.74,0.5993485342019544,0.7741935483870968,0.09125475285171103,0.22580645161290322,0.16326530612244897,0.98005698005698,0.08888888888888889,344,7,239,24,TCN
0.75,0.5960912052117264,0.7777777777777778,0.07984790874524715,0.2222222222222222,0.14482758620689656,0.9829059829059829,0.07806691449814127,345,6,242,21,TCN
0.76,0.5928338762214984,0.782608695652174,0.06844106463878327,0.21739130434782608,0.1258741258741259,0.9857549857549858,0.06716417910447761,346,5,245,18,TCN
0.77,0.5895765472312704,0.8235294117647058,0.053231939163498096,0.17647058823529413,0.1,0.9914529914529915,0.05263157894736842,348,3,249,14,TCN
0.78,0.5895765472312704,0.8666666666666667,0.049429657794676805,0.13333333333333333,0.09352517985611511,0.9943019943019943,0.04905660377358491,349,2,250,13,TCN
0.79,0.5798045602605864,0.7777777777777778,0.026615969581749048,0.2222222222222222,0.051470588235294115,0.9943019943019943,0.026415094339622643,349,2,256,7,TCN
0.8,0.5798045602605864,0.7777777777777778,0.026615969581749048,0.2222222222222222,0.051470588235294115,0.9943019943019943,0.026415094339622643,349,2,256,7,TCN
0.81,0.5765472312703583,0.7142857142857143,0.019011406844106463,0.2857142857142857,0.037037037037037035,0.9943019943019943,0.018867924528301886,349,2,258,5,TCN
0.82,0.5781758957654723,1.0,0.015209125475285171,0.0,0.0299625468164794,1.0,0.015209125475285171,351,0,259,4,TCN
0.83,0.5765472312703583,1.0,0.011406844106463879,0.0,0.022556390977443608,1.0,0.011406844106463879,351,0,260,3,TCN
0.84,0.5765472312703583,1.0,0.011406844106463879,0.0,0.022556390977443608,1.0,0.011406844106463879,351,0,260,3,TCN
0.85,0.5749185667752443,1.0,0.0076045627376425855,0.0,0.01509433962264151,1.0,0.0076045627376425855,351,0,261,2,TCN
0.86,0.5749185667752443,1.0,0.0076045627376425855,0.0,0.01509433962264151,1.0,0.0076045627376425855,351,0,261,2,TCN
0.87,0.5749185667752443,1.0,0.0076045627376425855,0.0,0.01509433962264151,1.0,0.0076045627376425855,351,0,261,2,TCN
0.88,0.5749185667752443,1.0,0.0076045627376425855,0.0,0.01509433962264151,1.0,0.0076045627376425855,351,0,261,2,TCN
0.89,0.5749185667752443,1.0,0.0076045627376425855,0.0,0.01509433962264151,1.0,0.0076045627376425855,351,0,261,2,TCN
0.9,0.5732899022801303,1.0,0.0038022813688212928,0.0,0.007575757575757576,1.0,0.0038022813688212928,351,0,262,1,TCN
